タイトル,URL
"平日朝、ド軍から舞い込んだ最新情報に騒然「え？」「どうして…」　突然の悲報に日本人ショック
THE ANSWER
4/14(火) 10:04",https://news.yahoo.co.jp/articles/5e37ff67ad39d76118c86e8b172ad0a76d110b5c
"華原朋美　ミニスカでUSJ満喫！小1長男と2S「幸せでした」　51歳、母の顔に「可愛い」の声殺到
スポニチアネックス
4/14(火) 10:32",https://news.yahoo.co.jp/articles/23b3eaf5fccfaa303f6b74b7e4295321e855fde5
"車内置き去りで乳児が後部座席に落下、母親10分戻らず…何もできなかった目撃女性「怖かった」
ENCOUNT
4/14(火) 9:30",https://news.yahoo.co.jp/articles/e5688ccd3b3fd7f2675252a0fbc93479775a27dd
"玉木氏、自衛隊員の自民党大会歌唱を批判
共同通信
4/14(火) 11:07",https://news.yahoo.co.jp/articles/fcbb434e67bb430cb177c822d36a92aefc5c90b4
"26歳芸人が急逝　当日に自らライブ告知&SNS投稿していた　所属事務所「あまりに突然」
よろず～ニュース
4/14(火) 6:10",https://news.yahoo.co.jp/articles/59755a774fd6f3280a463d760d4cee45625018d8
"サイゼリヤは絶好調から一転、スシローにも忍び寄る…「デフレに強い日本企業」が中国で直面する落とし穴
BUSINESS INSIDER JAPAN
4/14(火) 10:30",https://news.yahoo.co.jp/articles/5d459bbcb8449391214a8c9e9783bcf9cf90c1e4
"四半世紀に渡る王座がついに陥落へ　マキロイがタイガーの持つ「192億円」の壁を打ち破る可能性
ゴルフのニュース
4/14(火) 11:00",https://news.yahoo.co.jp/articles/81c94ebd357055b13d3d94531843a54ba2079f4a
"税務調査？なんでウチに。夫の遺産は〈自宅〉と〈貯金150万円〉だけですが…75歳女性「税務署からの電話」を同居する49歳長男に相談→夜のリビングで発覚した“衝撃の事実”【弁護士が警告】
THE GOLD ONLINE（ゴールドオンライン）
4/14(火) 11:00",https://news.yahoo.co.jp/articles/49a107ee70648f6731255a7e8774ac0c00693e19
"木南晴夏「10年くらい前に会っていたらご結婚されてるくらい」相性が良いと言われた年上俳優とは
モデルプレス
4/14(火) 11:04",https://news.yahoo.co.jp/articles/f1150f9f3ca3142d98ec56cd9ae23f49ae4332f0
"【台風情報】“大型で猛烈な”台風4号…週末にかけて小笠原近海へ接近か　勢力を維持しながら北西へ、中心気圧は905hPa【雨風シミュレーション】
チューリップテレビ
4/14(火) 10:22",https://news.yahoo.co.jp/articles/70855f0f287360ed29020d0800c761743436346d
"激変の44歳・池脇千鶴、ネット衝撃も称賛の声「演技を見ていて納得」「あれだけの表現力を持つ女優さんが…」
ENCOUNT
4/14(火) 9:52",https://news.yahoo.co.jp/articles/5b8e89f91bc3748032824e7cdaa8e9db84b005ff
"日産、車種を2割削減へ
共同通信
4/14(火) 10:36",https://news.yahoo.co.jp/articles/a80a392e795f549205270a47db3cd54ca147ea84
"ハーフとして生まれた赤ちゃん。　→その8年後…成長した現在の姿に「美男美女すぎた」「ぱっちりして可愛い！」「綺麗なお顔立ちです」
ほ・とせなNEWS
4/14(火) 9:24",https://news.yahoo.co.jp/articles/12dc89f67a2c2f4c7c9cdcb1f6670c3e44af3976
