タイトル,URL
1子どもとみられる遺体発見　死後相当な時間か…司法解剖へ　京都男児不明から3週間日テレNEWS NNN4/14(火)1:33,https://news.yahoo.co.jp/articles/e809cff5c9a06fad5b57c204d9197f0bcc729905
2「夫婦なの知って衝撃」13歳上の綾野剛と結婚＆第1子誕生〝雰囲気一変〟31歳女優の姿に驚きの声「全然違う」「久しぶりに見られて嬉しい」西スポWEB OTTO！4/13(月)23:00,https://news.yahoo.co.jp/articles/0e495a8962f977788c0a30d36435fc5189c29a76
3「即答できない」「間違ったことを言えない」　京都府警、南丹市の遺体発見で慎重な対応産経新聞4/13(月)21:20,https://news.yahoo.co.jp/articles/08c62eaeae18e2a287236b34369195b05f783e02
4楽しんご“京都遺体発見報道”巡り私見「報道のあり方として一つ気になるのが…」日刊スポーツ4/14(火)7:42,https://news.yahoo.co.jp/articles/48e6ddc15e74ee678a6f0d9974fb8e0e79d9e409
5南丹市で遺体、遊具で遊ぶのが好きだった不明男児同級生の親は涙「平穏な町で信じられない」「まだ決まったわけでは」…園部小は臨時休校読売新聞オンライン4/14(火)9:12,https://news.yahoo.co.jp/articles/433402e559141bf782b5b4469212faa25b52c963
1高市首相、改憲「1年以内」発言が波紋　自民「追い風」「難しい」時事通信4/14(火)6:59,https://news.yahoo.co.jp/articles/0810ddb3764c93e36cc5cfd77bc4fdc3ca29ccae
2【速報】子供とみられる遺体が発見される　安達結希さん（11）が行方不明になっている京都・南丹市　京都府警「濃紺のフリース・ベージュの長ズボンを身に着け靴をはいていない小柄な遺体があおむけの状態で発見された」関西テレビ4/13(月)18:49,https://news.yahoo.co.jp/articles/7bc9aa87c355789896b9618a1913cb1a525520fb
3「いま襲われている」と通報　複数の男が頭部めった打ち　催涙スプレーも使用か　男性１人がくも膜下出血疑いで入院　強盗殺人未遂事件として捜査関西テレビ4/14(火)8:32,https://news.yahoo.co.jp/articles/69c6c2156d21bd162d120f57287bb40ae9e14d31
1行方不明小6男児と似た服装…京都・南丹市の山中で「子どもとみられる遺体」発見　14日に司法解剖の方針　12日に靴発見も遺体は靴を履かず、死後相当の期間経過【中継】MBSニュース4/13(月)23:201:23,https://news.yahoo.co.jp/articles/02a7414dbbdcf9c6f9da433b55eacf454480a194
2追い越すため右折レーンから直進…飲酒運転の車で信号無視し対向車と衝突して相手の運転手を死亡させた疑い 22歳男を逮捕東海テレビ4/14(火)7:050:52,https://news.yahoo.co.jp/articles/01eafa6a0b40782367080aba2f356c44484c0575
3トランプ大統領　自身をキリストに似せた画像を投稿　支持基盤の保守派から批判相次ぎ削除TBS NEWS DIG Powered by JNN4/14(火)4:131:10,https://news.yahoo.co.jp/articles/d4ac54a9ab6eb6f4055f10d0f763e930985c8cf0
1《京都・南丹市で遺体発見》行方不明の小6男児か「毎日の送迎は祖母」住民が語る“家族の姿”週刊女性PRIME4/13(月)20:00,https://news.yahoo.co.jp/articles/2b2fa44ea6ee2f5c80ab73678ba069d618c2b1dd
2《京都小6男児》「ご家族に抱きしめてもらって」近隣住民の悲痛な祈りと、再婚両親の“子育て”事情週刊女性PRIME4/13(月)15:00,https://news.yahoo.co.jp/articles/f58dbb68386d1c519a3e47a651a5f489706ca34c
3巨人をクビになりハローワークへ…？ “元プロ野球選手”が給湯器工場で職場仲間にかけられた“意外な言葉”文春オンライン4/14(火)6:30,https://news.yahoo.co.jp/articles/8781c393f008447f780f10637b192ec92175d6c2
4日ハム“20億円出戻り”の有原、清宮を「おまえ」呼び・ホークス選手からもイジり…新庄監督も誤算か週刊女性PRIME4/14(火)6:30,https://news.yahoo.co.jp/articles/7bb0f40cfaf773603b49df71eb76ca41f9239e93
5アメリカ人の「トランプ離れ」が止まらない…「戦争をしない大統領」を信じた支持者たちが語り始めた後悔プレジデントオンライン4/14(火)7:15,https://news.yahoo.co.jp/articles/c663804c4da52664906c704cb119f5e6f2cf847e
